JobID,JobFlowID,InstanceCount,MapTaskCount,JobCounter,RawCopyIn,Demux,HadoopJob,Merge,RawCopyOut,Job,JobRun
1248a788-5670-4207-b066-f64113a1425,j-QNVKB1E4GUL0,2,4,0,0,0,0,0,0,0,0
1248a788-5670-4207-b066-f64113a1425,j-QNVKB1E4GUL0,2,4,1,9,23,213,25,15,287,0
1248a788-5670-4207-b066-f64113a1425,j-QNVKB1E4GUL0,2,4,2,12,29,329,47,26,446,0
1248a788-5670-4207-b066-f64113a1425,j-QNVKB1E4GUL0,2,4,3,28,34,515,66,43,688,0
1248a788-5670-4207-b066-f64113a1425,j-QNVKB1E4GUL0,2,4,4,55,51,602,64,38,814,0
1248a788-5670-4207-b066-f64113a1425,j-QNVKB1E4GUL0,2,4,5,409,294,2710,260,125,3802,0
048477ed-1b97-4813-acad-4b9d6bb6b29,j-QNVKB1E4GUL0,4,4,0,0,0,0,0,0,0,0
048477ed-1b97-4813-acad-4b9d6bb6b29,j-QNVKB1E4GUL0,4,4,1,9,19,137,25,16,207,0
048477ed-1b97-4813-acad-4b9d6bb6b29,j-QNVKB1E4GUL0,4,4,2,12,27,206,47,25,320,0
048477ed-1b97-4813-acad-4b9d6bb6b29,j-QNVKB1E4GUL0,4,4,3,27,34,287,67,42,460,0
048477ed-1b97-4813-acad-4b9d6bb6b29,j-QNVKB1E4GUL0,4,4,4,55,48,334,65,37,542,0
048477ed-1b97-4813-acad-4b9d6bb6b29,j-QNVKB1E4GUL0,4,4,5,418,301,1422,255,109,2509,0
076f93c8-83f5-4852-9339-cf157227786,j-QNVKB1E4GUL0,6,4,0,0,0,0,0,0,0,0
076f93c8-83f5-4852-9339-cf157227786,j-QNVKB1E4GUL0,6,4,1,9,21,111,24,15,182,0
076f93c8-83f5-4852-9339-cf157227786,j-QNVKB1E4GUL0,6,4,2,12,28,167,48,26,283,0
076f93c8-83f5-4852-9339-cf157227786,j-QNVKB1E4GUL0,6,4,3,29,31,212,67,43,384,0
076f93c8-83f5-4852-9339-cf157227786,j-QNVKB1E4GUL0,6,4,4,56,52,244,66,39,459,0
076f93c8-83f5-4852-9339-cf157227786,j-QNVKB1E4GUL0,6,4,5,214,240,963,256,126,1802,0
