JobID,JobFlowID,InstanceCount,MapTaskCount,JobCounter,RawCopyIn,Demux,HadoopJob,Merge,RawCopyOut,Job,JobRun
a75c3ddb-4eed-418a-9615-171db3177ce,j-17BKXKDG7EXAY,2,4,0,0,0,0,0,0,0,0
a75c3ddb-4eed-418a-9615-171db3177ce,j-17BKXKDG7EXAY,2,4,1,0,0,68,0,2,71,0
58491156-e0b9-431f-80a8-7a818da6462,j-17BKXKDG7EXAY,4,4,1,0,0,76,0,2,79,0
e09f131a-f70a-4b04-b874-7743586d18e,j-17BKXKDG7EXAY,6,4,1,0,0,73,0,2,76,0
a75c3ddb-4eed-418a-9615-171db3177ce,j-17BKXKDG7EXAY,2,4,2,0,0,52,0,2,55,0
58491156-e0b9-431f-80a8-7a818da6462,j-17BKXKDG7EXAY,4,4,2,0,0,52,0,2,55,0
e09f131a-f70a-4b04-b874-7743586d18e,j-17BKXKDG7EXAY,6,4,2,0,0,47,0,2,50,0
a75c3ddb-4eed-418a-9615-171db3177ce,j-17BKXKDG7EXAY,2,4,3,0,0,162,4,11,178,0
58491156-e0b9-431f-80a8-7a818da6462,j-17BKXKDG7EXAY,4,4,3,0,0,143,4,11,159,0
e09f131a-f70a-4b04-b874-7743586d18e,j-17BKXKDG7EXAY,6,4,3,0,0,141,4,10,156,0
58491156-e0b9-431f-80a8-7a818da6462,j-17BKXKDG7EXAY,4,4,0,0,0,0,0,0,0,0
a75c3ddb-4eed-418a-9615-171db3177ce,j-17BKXKDG7EXAY,2,4,4,0,0,115,2,5,124,0
58491156-e0b9-431f-80a8-7a818da6462,j-17BKXKDG7EXAY,4,4,4,0,0,95,2,7,105,0
e09f131a-f70a-4b04-b874-7743586d18e,j-17BKXKDG7EXAY,6,4,4,0,0,90,2,6,99,0
a75c3ddb-4eed-418a-9615-171db3177ce,j-17BKXKDG7EXAY,2,4,5,0,0,228,6,16,252,0
58491156-e0b9-431f-80a8-7a818da6462,j-17BKXKDG7EXAY,4,4,5,0,0,173,6,15,196,0
e09f131a-f70a-4b04-b874-7743586d18e,j-17BKXKDG7EXAY,6,4,5,0,0,161,6,15,183,0
a75c3ddb-4eed-418a-9615-171db3177ce,j-17BKXKDG7EXAY,2,4,6,0,0,134,3,9,147,0
58491156-e0b9-431f-80a8-7a818da6462,j-17BKXKDG7EXAY,4,4,6,0,0,99,3,9,112,0
e09f131a-f70a-4b04-b874-7743586d18e,j-17BKXKDG7EXAY,6,4,6,0,0,98,3,9,111,0
e09f131a-f70a-4b04-b874-7743586d18e,j-17BKXKDG7EXAY,6,4,0,0,0,0,0,0,0,0
a75c3ddb-4eed-418a-9615-171db3177ce,j-17BKXKDG7EXAY,2,4,7,0,0,374,10,32,418,0
58491156-e0b9-431f-80a8-7a818da6462,j-17BKXKDG7EXAY,4,4,7,0,0,257,9,31,298,0
e09f131a-f70a-4b04-b874-7743586d18e,j-17BKXKDG7EXAY,6,4,7,0,0,185,9,28,224,0
a75c3ddb-4eed-418a-9615-171db3177ce,j-17BKXKDG7EXAY,2,4,8,0,0,210,5,15,231,0
58491156-e0b9-431f-80a8-7a818da6462,j-17BKXKDG7EXAY,4,4,8,0,0,168,4,15,189,0
e09f131a-f70a-4b04-b874-7743586d18e,j-17BKXKDG7EXAY,6,4,8,0,0,150,5,16,172,0
a75c3ddb-4eed-418a-9615-171db3177ce,j-17BKXKDG7EXAY,2,4,9,0,0,506,27,51,585,0
58491156-e0b9-431f-80a8-7a818da6462,j-17BKXKDG7EXAY,4,4,9,0,0,304,30,56,391,0
e09f131a-f70a-4b04-b874-7743586d18e,j-17BKXKDG7EXAY,6,4,9,0,0,0,0,0,0,0
