JobID,JobFlowID,InstanceCount,MapTaskCount,JobCounter,RawCopyIn,Demux,HadoopJob,Merge,RawCopyOut,Job,JobRun
3c69e3d9-1fa4-48c6-b5b4-1522b0d8898,j-23O4OJGP21O7S,2,4,0,0,0,0,0,0,0,0
3c69e3d9-1fa4-48c6-b5b4-1522b0d8898,j-23O4OJGP21O7S,2,4,1,8,7,236,4,15,272,0
3c69e3d9-1fa4-48c6-b5b4-1522b0d8898,j-23O4OJGP21O7S,2,4,2,12,13,403,7,25,463,0
3c69e3d9-1fa4-48c6-b5b4-1522b0d8898,j-23O4OJGP21O7S,2,4,3,27,28,537,16,42,652,0
3c69e3d9-1fa4-48c6-b5b4-1522b0d8898,j-23O4OJGP21O7S,2,4,4,52,47,593,15,38,748,0
3c69e3d9-1fa4-48c6-b5b4-1522b0d8898,j-23O4OJGP21O7S,2,4,5,9,8,209,4,15,247,0
3c69e3d9-1fa4-48c6-b5b4-1522b0d8898,j-23O4OJGP21O7S,2,4,6,12,12,364,7,25,422,0
3c69e3d9-1fa4-48c6-b5b4-1522b0d8898,j-23O4OJGP21O7S,2,4,7,29,27,500,16,38,613,0
3c69e3d9-1fa4-48c6-b5b4-1522b0d8898,j-23O4OJGP21O7S,2,4,8,54,46,550,15,33,701,0
e3048094-6ce8-4a69-9620-cd0d44fd369,j-23O4OJGP21O7S,4,4,0,0,0,0,0,0,0,0
e3048094-6ce8-4a69-9620-cd0d44fd369,j-23O4OJGP21O7S,4,4,1,7,10,180,4,15,219,0
e3048094-6ce8-4a69-9620-cd0d44fd369,j-23O4OJGP21O7S,4,4,2,11,11,258,7,23,312,0
e3048094-6ce8-4a69-9620-cd0d44fd369,j-23O4OJGP21O7S,4,4,3,29,27,337,15,42,452,0
e3048094-6ce8-4a69-9620-cd0d44fd369,j-23O4OJGP21O7S,4,4,4,51,42,317,15,38,465,0
e3048094-6ce8-4a69-9620-cd0d44fd369,j-23O4OJGP21O7S,4,4,5,8,7,157,4,16,194,0
e3048094-6ce8-4a69-9620-cd0d44fd369,j-23O4OJGP21O7S,4,4,6,14,10,230,7,25,288,0
e3048094-6ce8-4a69-9620-cd0d44fd369,j-23O4OJGP21O7S,4,4,7,27,25,278,15,64,411,0
e3048094-6ce8-4a69-9620-cd0d44fd369,j-23O4OJGP21O7S,4,4,8,51,40,289,15,39,437,0
5c1f2081-527e-44cc-adfd-005d32d03d0,j-23O4OJGP21O7S,6,4,0,0,0,0,0,0,0,0
5c1f2081-527e-44cc-adfd-005d32d03d0,j-23O4OJGP21O7S,6,4,1,9,9,164,4,16,204,0
5c1f2081-527e-44cc-adfd-005d32d03d0,j-23O4OJGP21O7S,6,4,2,12,10,187,7,23,241,0
5c1f2081-527e-44cc-adfd-005d32d03d0,j-23O4OJGP21O7S,6,4,3,26,25,263,14,41,371,0
5c1f2081-527e-44cc-adfd-005d32d03d0,j-23O4OJGP21O7S,6,4,4,51,38,233,15,38,378,0
5c1f2081-527e-44cc-adfd-005d32d03d0,j-23O4OJGP21O7S,6,4,5,8,7,134,4,15,170,0
5c1f2081-527e-44cc-adfd-005d32d03d0,j-23O4OJGP21O7S,6,4,6,12,10,159,6,24,214,0
5c1f2081-527e-44cc-adfd-005d32d03d0,j-23O4OJGP21O7S,6,4,7,27,24,223,14,45,335,0
5c1f2081-527e-44cc-adfd-005d32d03d0,j-23O4OJGP21O7S,6,4,8,54,37,210,14,36,353,0
4e083ef5-4678-4c94-a660-7ece34e1dc3,j-23O4OJGP21O7S,8,4,0,0,0,0,0,0,0,0
4e083ef5-4678-4c94-a660-7ece34e1dc3,j-23O4OJGP21O7S,8,4,1,8,9,159,4,16,198,0
4e083ef5-4678-4c94-a660-7ece34e1dc3,j-23O4OJGP21O7S,8,4,2,11,11,191,6,23,245,0
4e083ef5-4678-4c94-a660-7ece34e1dc3,j-23O4OJGP21O7S,8,4,3,27,26,200,14,41,311,0
4e083ef5-4678-4c94-a660-7ece34e1dc3,j-23O4OJGP21O7S,8,4,4,52,40,193,15,36,338,0
4e083ef5-4678-4c94-a660-7ece34e1dc3,j-23O4OJGP21O7S,8,4,5,8,7,120,4,14,155,0
4e083ef5-4678-4c94-a660-7ece34e1dc3,j-23O4OJGP21O7S,8,4,6,12,10,156,6,26,212,0
4e083ef5-4678-4c94-a660-7ece34e1dc3,j-23O4OJGP21O7S,8,4,7,27,24,174,14,49,291,0
4e083ef5-4678-4c94-a660-7ece34e1dc3,j-23O4OJGP21O7S,8,4,8,51,41,180,15,34,324,0
b08e41fd-631f-41ff-8804-e2d66abeebc,j-1ZDP0I0O52573,2,8,0,0,0,0,0,0,0,0
b08e41fd-631f-41ff-8804-e2d66abeebc,j-1ZDP0I0O52573,2,8,1,8,8,268,4,17,308,0
b08e41fd-631f-41ff-8804-e2d66abeebc,j-1ZDP0I0O52573,2,8,2,11,12,440,7,26,499,0
b08e41fd-631f-41ff-8804-e2d66abeebc,j-1ZDP0I0O52573,2,8,3,26,28,533,15,41,645,0
b08e41fd-631f-41ff-8804-e2d66abeebc,j-1ZDP0I0O52573,2,8,4,51,46,493,15,38,646,0
bf1167b4-669a-48d7-8c70-5b0deac99ed,j-1ZDP0I0O52573,4,8,0,0,0,0,0,0,0,0
bf1167b4-669a-48d7-8c70-5b0deac99ed,j-1ZDP0I0O52573,4,8,1,8,10,255,4,15,295,0
bf1167b4-669a-48d7-8c70-5b0deac99ed,j-1ZDP0I0O52573,4,8,2,12,12,327,7,23,383,0
