JobID,JobFlowID,InstanceCount,MapTaskCount,JobCounter,RawCopyIn,Demux,HadoopJob,Merge,RawCopyOut,Job,JobRun
c418e01d-9029-4867-8896-bf91591f1c1,j-3JUIZ0LO3MESQ,2,4,0,0,0,0,0,0,0,0
c418e01d-9029-4867-8896-bf91591f1c1,j-3JUIZ0LO3MESQ,2,4,1,8,11,270,4,16,311,0
c418e01d-9029-4867-8896-bf91591f1c1,j-3JUIZ0LO3MESQ,2,4,2,9,9,210,4,14,248,0
c418e01d-9029-4867-8896-bf91591f1c1,j-3JUIZ0LO3MESQ,2,4,3,8,9,193,4,16,233,0
c418e01d-9029-4867-8896-bf91591f1c1,j-3JUIZ0LO3MESQ,2,4,4,8,10,193,5,15,234,0
c418e01d-9029-4867-8896-bf91591f1c1,j-3JUIZ0LO3MESQ,2,4,5,13,12,418,6,26,478,0
c418e01d-9029-4867-8896-bf91591f1c1,j-3JUIZ0LO3MESQ,2,4,6,12,12,343,6,25,401,0
c418e01d-9029-4867-8896-bf91591f1c1,j-3JUIZ0LO3MESQ,2,4,7,12,13,323,7,24,382,0
c418e01d-9029-4867-8896-bf91591f1c1,j-3JUIZ0LO3MESQ,2,4,8,12,15,332,9,24,395,0
c418e01d-9029-4867-8896-bf91591f1c1,j-3JUIZ0LO3MESQ,2,4,9,29,28,478,13,43,593,0
c418e01d-9029-4867-8896-bf91591f1c1,j-3JUIZ0LO3MESQ,2,4,10,28,27,442,14,43,556,0
c418e01d-9029-4867-8896-bf91591f1c1,j-3JUIZ0LO3MESQ,2,4,11,27,31,454,17,43,574,0
c418e01d-9029-4867-8896-bf91591f1c1,j-3JUIZ0LO3MESQ,2,4,12,27,34,514,23,42,642,0
c418e01d-9029-4867-8896-bf91591f1c1,j-3JUIZ0LO3MESQ,2,4,13,52,41,470,11,40,617,0
c418e01d-9029-4867-8896-bf91591f1c1,j-3JUIZ0LO3MESQ,2,4,14,56,49,492,14,49,661,0
c418e01d-9029-4867-8896-bf91591f1c1,j-3JUIZ0LO3MESQ,2,4,15,57,60,519,23,45,705,0
c418e01d-9029-4867-8896-bf91591f1c1,j-3JUIZ0LO3MESQ,2,4,16,50,73,618,37,48,828,0
f3f18d0f-13a2-475d-a628-6f875bcbc5a,j-3JUIZ0LO3MESQ,4,4,0,0,0,0,0,0,0,0
f3f18d0f-13a2-475d-a628-6f875bcbc5a,j-3JUIZ0LO3MESQ,4,4,1,8,10,226,4,14,264,0
f3f18d0f-13a2-475d-a628-6f875bcbc5a,j-3JUIZ0LO3MESQ,4,4,2,10,8,137,4,15,177,0
f3f18d0f-13a2-475d-a628-6f875bcbc5a,j-3JUIZ0LO3MESQ,4,4,3,8,10,126,4,14,164,0
f3f18d0f-13a2-475d-a628-6f875bcbc5a,j-3JUIZ0LO3MESQ,4,4,4,8,10,126,5,15,166,0
f3f18d0f-13a2-475d-a628-6f875bcbc5a,j-3JUIZ0LO3MESQ,4,4,5,12,11,254,6,27,313,0
f3f18d0f-13a2-475d-a628-6f875bcbc5a,j-3JUIZ0LO3MESQ,4,4,6,11,12,230,6,23,285,0
f3f18d0f-13a2-475d-a628-6f875bcbc5a,j-3JUIZ0LO3MESQ,4,4,7,12,14,198,7,26,259,0
f3f18d0f-13a2-475d-a628-6f875bcbc5a,j-3JUIZ0LO3MESQ,4,4,8,11,15,188,9,28,255,0
f3f18d0f-13a2-475d-a628-6f875bcbc5a,j-3JUIZ0LO3MESQ,4,4,9,27,28,324,12,42,434,0
f3f18d0f-13a2-475d-a628-6f875bcbc5a,j-3JUIZ0LO3MESQ,4,4,10,28,28,286,14,47,405,0
f3f18d0f-13a2-475d-a628-6f875bcbc5a,j-3JUIZ0LO3MESQ,4,4,11,25,31,261,16,44,381,0
f3f18d0f-13a2-475d-a628-6f875bcbc5a,j-3JUIZ0LO3MESQ,4,4,12,28,35,282,23,39,409,0
f3f18d0f-13a2-475d-a628-6f875bcbc5a,j-3JUIZ0LO3MESQ,4,4,13,52,42,278,11,42,426,0
f3f18d0f-13a2-475d-a628-6f875bcbc5a,j-3JUIZ0LO3MESQ,4,4,14,53,50,272,15,47,439,0
f3f18d0f-13a2-475d-a628-6f875bcbc5a,j-3JUIZ0LO3MESQ,4,4,15,54,59,285,24,44,469,0
f3f18d0f-13a2-475d-a628-6f875bcbc5a,j-3JUIZ0LO3MESQ,4,4,16,54,77,335,38,47,554,0
ae4d149f-062d-46f0-9f03-aaec22cd560,j-3JUIZ0LO3MESQ,6,4,0,0,0,0,0,0,0,0
ae4d149f-062d-46f0-9f03-aaec22cd560,j-3JUIZ0LO3MESQ,6,4,1,8,10,235,4,16,275,0
ae4d149f-062d-46f0-9f03-aaec22cd560,j-3JUIZ0LO3MESQ,6,4,2,9,8,135,4,16,175,0
ae4d149f-062d-46f0-9f03-aaec22cd560,j-3JUIZ0LO3MESQ,6,4,3,8,9,101,4,15,139,0
ae4d149f-062d-46f0-9f03-aaec22cd560,j-3JUIZ0LO3MESQ,6,4,4,7,9,104,5,15,144,0
ae4d149f-062d-46f0-9f03-aaec22cd560,j-3JUIZ0LO3MESQ,6,4,5,11,11,239,6,26,296,0
ae4d149f-062d-46f0-9f03-aaec22cd560,j-3JUIZ0LO3MESQ,6,4,6,11,12,161,6,27,220,0
ae4d149f-062d-46f0-9f03-aaec22cd560,j-3JUIZ0LO3MESQ,6,4,7,11,12,155,7,25,214,0
ae4d149f-062d-46f0-9f03-aaec22cd560,j-3JUIZ0LO3MESQ,6,4,8,12,15,149,9,25,211,0
ae4d149f-062d-46f0-9f03-aaec22cd560,j-3JUIZ0LO3MESQ,6,4,9,26,27,331,12,43,441,0
ae4d149f-062d-46f0-9f03-aaec22cd560,j-3JUIZ0LO3MESQ,6,4,10,30,27,224,14,41,337,0
ae4d149f-062d-46f0-9f03-aaec22cd560,j-3JUIZ0LO3MESQ,6,4,11,26,30,193,16,40,308,0
ae4d149f-062d-46f0-9f03-aaec22cd560,j-3JUIZ0LO3MESQ,6,4,12,27,32,200,22,37,321,0
ae4d149f-062d-46f0-9f03-aaec22cd560,j-3JUIZ0LO3MESQ,6,4,13,51,40,210,11,36,349,0
