JobID,JobFlowID,InstanceCount,MapTaskCount,JobCounter,BlockSize,FileSize,RawCopyIn,Demux,ProcessJob,Merge,RawCopyOut,Job,JobRun
b5136593-6034-4fb8-89a8-6cf4765fe9c,j-1MSRG3335ASVQ,0,4,0,-1,-1,0,0,0,0,0,0,0
b5136593-6034-4fb8-89a8-6cf4765fe9c,j-1MSRG3335ASVQ,0,4,1,16777216,10514761914,374,0,15267,0,303,15945,0
b5136593-6034-4fb8-89a8-6cf4765fe9c,j-1MSRG3335ASVQ,0,4,2,4194304,4640417,0,1,52,0,2,58,0
b5136593-6034-4fb8-89a8-6cf4765fe9c,j-1MSRG3335ASVQ,0,4,3,8388608,183374462,6,3,221,2,11,245,0
b5136593-6034-4fb8-89a8-6cf4765fe9c,j-1MSRG3335ASVQ,0,4,4,8388608,237292012,8,4,305,3,16,338,0
b5136593-6034-4fb8-89a8-6cf4765fe9c,j-1MSRG3335ASVQ,0,4,5,8388608,364935418,12,5,554,5,24,603,0
b5136593-6034-4fb8-89a8-6cf4765fe9c,j-1MSRG3335ASVQ,0,4,6,8388608,797857853,25,13,812,14,41,908,0
b5136593-6034-4fb8-89a8-6cf4765fe9c,j-1MSRG3335ASVQ,0,4,7,16777216,1540035256,49,17,839,11,45,964,0
b5136593-6034-4fb8-89a8-6cf4765fe9c,j-1MSRG3335ASVQ,0,4,8,16777216,6321118503,215,188,3970,87,56,4519,0
b5136593-6034-4fb8-89a8-6cf4765fe9c,j-1MSRG3335ASVQ,0,4,9,25165824,10514761914,363,419,0,0,0,3247,0
