JobID,JobFlowID,InstanceCount,MapTaskCount,JobCounter,RawCopyIn,Demux,HadoopJob,Merge,RawCopyOut,Job,JobRun
8ced632f-f9a4-48be-9a2d-cfe4085db3d,j-2A39OXE9EHIOM,2,4,0,0,0,0,0,0,0,0
8ced632f-f9a4-48be-9a2d-cfe4085db3d,j-2A39OXE9EHIOM,2,4,1,8,7,198,3,15,234,0
8ced632f-f9a4-48be-9a2d-cfe4085db3d,j-2A39OXE9EHIOM,2,4,2,13,9,332,6,23,386,0
8ced632f-f9a4-48be-9a2d-cfe4085db3d,j-2A39OXE9EHIOM,2,4,3,26,22,473,13,38,575,0
8ced632f-f9a4-48be-9a2d-cfe4085db3d,j-2A39OXE9EHIOM,2,4,4,52,33,508,13,37,646,0
2fc284fd-d08e-4931-aee1-dfa47fe9693,j-2A39OXE9EHIOM,4,4,0,0,0,0,0,0,0,0
2fc284fd-d08e-4931-aee1-dfa47fe9693,j-2A39OXE9EHIOM,4,4,1,8,8,144,3,15,181,0
2fc284fd-d08e-4931-aee1-dfa47fe9693,j-2A39OXE9EHIOM,4,4,2,13,9,222,6,23,275,0
2fc284fd-d08e-4931-aee1-dfa47fe9693,j-2A39OXE9EHIOM,4,4,3,29,22,269,13,41,376,0
2fc284fd-d08e-4931-aee1-dfa47fe9693,j-2A39OXE9EHIOM,4,4,4,53,34,271,13,39,412,0
59535185-5ca3-40d9-a9d0-8b940f08979,j-2A39OXE9EHIOM,6,4,0,0,0,0,0,0,0,0
59535185-5ca3-40d9-a9d0-8b940f08979,j-2A39OXE9EHIOM,6,4,1,8,8,122,3,15,159,0
59535185-5ca3-40d9-a9d0-8b940f08979,j-2A39OXE9EHIOM,6,4,2,13,9,156,6,25,211,0
59535185-5ca3-40d9-a9d0-8b940f08979,j-2A39OXE9EHIOM,6,4,3,31,22,218,13,41,327,0
59535185-5ca3-40d9-a9d0-8b940f08979,j-2A39OXE9EHIOM,6,4,4,50,33,206,13,38,344,0
