JobID,JobFlowID,InstanceCount,MapTaskCount,JobCounter,BlockSize,FileSize,RawCopyIn,Demux,ProcessJob,Merge,RawCopyOut,Job,,,,,
2495b26e-2d03-4763-b616-d4368dfe50e,j-3LP8J227W9SU,1,4,1,4194304,4640417,0,1,52,0,2,57,,,,,
2495b26e-2d03-4763-b616-d4368dfe50e,j-3LP8J227W9SU,1,4,2,8388608,183374462,7,6,228,3,11,258,,,,,
2495b26e-2d03-4763-b616-d4368dfe50e,j-3LP8J227W9SU,1,4,3,8388608,237292012,8,8,319,5,17,359,,,,,
2495b26e-2d03-4763-b616-d4368dfe50e,j-3LP8J227W9SU,1,4,4,8388608,364935418,13,11,572,9,26,632,,,,,
2495b26e-2d03-4763-b616-d4368dfe50e,j-3LP8J227W9SU,1,4,5,8388608,797857853,28,27,855,21,40,975,,,,,
2495b26e-2d03-4763-b616-d4368dfe50e,j-3LP8J227W9SU,1,4,6,16777216,1540035256,58,38,908,18,44,1068,,,,,
2495b26e-2d03-4763-b616-d4368dfe50e,j-3LP8J227W9SU,1,4,7,16777216,6321118503,234,174,4120,97,65,4693,,,,,
2495b26e-2d03-4763-b616-d4368dfe50e,j-3LP8J227W9SU,1,4,8,25165824,10514761914,400,262,14874,349,249,16137,,,,,
6dd50a17-0967-4229-a084-7df82d343f3,j-3LP8J227W9SU,2,4,1,4194304,4640417,0,1,52,0,2,57,,,,,
6dd50a17-0967-4229-a084-7df82d343f3,j-3LP8J227W9SU,2,4,2,8388608,183374462,6,6,130,3,11,159,,,,,
6dd50a17-0967-4229-a084-7df82d343f3,j-3LP8J227W9SU,2,4,3,8388608,237292012,8,7,187,5,16,225,,,,,
6dd50a17-0967-4229-a084-7df82d343f3,j-3LP8J227W9SU,2,4,4,8388608,364935418,16,11,305,9,26,368,,,,,
6dd50a17-0967-4229-a084-7df82d343f3,j-3LP8J227W9SU,2,4,5,8388608,797857853,29,27,445,20,41,564,,,,,
6dd50a17-0967-4229-a084-7df82d343f3,j-3LP8J227W9SU,2,4,6,16777216,1540035256,54,39,495,17,41,649,,,,,
6dd50a17-0967-4229-a084-7df82d343f3,j-3LP8J227W9SU,2,4,7,16777216,6321118503,223,160,2132,94,62,2674,,,,,
6dd50a17-0967-4229-a084-7df82d343f3,j-3LP8J227W9SU,2,4,8,25165824,10514761914,379,247,7530,330,245,8734,,,,,
94d339af-9522-4b2b-890f-b9888bcf630,j-3LP8J227W9SU,3,4,1,4194304,4640417,0,1,47,0,2,52,,,,,
94d339af-9522-4b2b-890f-b9888bcf630,j-3LP8J227W9SU,3,4,2,8388608,183374462,6,6,102,3,10,131,,,,,
94d339af-9522-4b2b-890f-b9888bcf630,j-3LP8J227W9SU,3,4,3,8388608,237292012,8,7,181,5,16,219,,,,,
94d339af-9522-4b2b-890f-b9888bcf630,j-3LP8J227W9SU,3,4,4,8388608,364935418,11,11,230,9,26,290,,,,,
94d339af-9522-4b2b-890f-b9888bcf630,j-3LP8J227W9SU,3,4,5,8388608,797857853,27,27,329,20,44,449,,,,,
94d339af-9522-4b2b-890f-b9888bcf630,j-3LP8J227W9SU,3,4,6,16777216,1540035256,54,40,351,17,40,504,,,,,
94d339af-9522-4b2b-890f-b9888bcf630,j-3LP8J227W9SU,3,4,7,16777216,6321118503,205,162,1480,94,63,2009,,,,,
,,3,4,8,,,,,,,,,,,,,
d682d5f3-2483-48b5-8857-280f1e36d8d,j-3LP8J227W9SU,4,4,1,4194304,4640417,0,1,51,0,2,56,,,,,
d682d5f3-2483-48b5-8857-280f1e36d8d,j-3LP8J227W9SU,4,4,2,8388608,183374462,6,7,100,4,10,128,,,,,
d682d5f3-2483-48b5-8857-280f1e36d8d,j-3LP8J227W9SU,4,4,3,8388608,237292012,9,8,197,5,17,238,,,,,
d682d5f3-2483-48b5-8857-280f1e36d8d,j-3LP8J227W9SU,4,4,4,8388608,364935418,12,12,199,9,27,261,,,,,
d682d5f3-2483-48b5-8857-280f1e36d8d,j-3LP8J227W9SU,4,4,5,8388608,797857853,27,29,257,20,40,376,,,,,
d682d5f3-2483-48b5-8857-280f1e36d8d,j-3LP8J227W9SU,4,4,6,16777216,1540035256,53,40,274,17,40,427,,,,,
d682d5f3-2483-48b5-8857-280f1e36d8d,j-3LP8J227W9SU,4,4,7,16777216,6321118503,222,164,1155,95,60,1701,,,,,
6055d7cc-1315-4c01-92d1-ea83df710b8,j-19WOUSWNMFAK8,4,4,1,25165824,10514761914,389,331,4075,326,304,5430,,,,,
c968be05-d624-4dcd-9ede-b6a7cf10822,j-3LP8J227W9SU,5,4,1,4194304,4640417,0,1,49,0,2,54,,,,,3
c968be05-d624-4dcd-9ede-b6a7cf10822,j-3LP8J227W9SU,5,4,2,8388608,183374462,7,7,96,3,10,125,,,,,5
c968be05-d624-4dcd-9ede-b6a7cf10822,j-3LP8J227W9SU,5,4,3,8388608,237292012,8,9,226,5,16,265,,,,,6
c968be05-d624-4dcd-9ede-b6a7cf10822,j-3LP8J227W9SU,5,4,4,8388608,364935418,12,12,172,9,25,232,,,,,8
c968be05-d624-4dcd-9ede-b6a7cf10822,j-3LP8J227W9SU,5,4,5,8388608,797857853,28,31,214,20,43,338,,,,,
c968be05-d624-4dcd-9ede-b6a7cf10822,j-3LP8J227W9SU,5,4,6,16777216,1540035256,55,42,244,17,42,403,,,,,
c968be05-d624-4dcd-9ede-b6a7cf10822,j-3LP8J227W9SU,5,4,7,16777216,6321118503,224,165,932,93,61,1480,,,,,
,,5,4,8,,,,,,,,,,,,,
