JobID,JobFlowID,InstanceCount,MapTaskCount,JobCounter,BlockSize,FileSize,RawCopyIn,Demux,ProcessJob,Merge,RawCopyOut,Job,JobRun
8aafdeaf-363a-49a9-be9e-138c81499e0,j-1BYBMARV0B1ND,12,4,0,-1,-1,0,0,0,0,0,0,0
8aafdeaf-363a-49a9-be9e-138c81499e0,j-1BYBMARV0B1ND,12,4,1,4194304,4640417,0,1,55,1,2,60,0
8aafdeaf-363a-49a9-be9e-138c81499e0,j-1BYBMARV0B1ND,12,4,2,8388608,183374462,6,6,73,3,11,101,0
8aafdeaf-363a-49a9-be9e-138c81499e0,j-1BYBMARV0B1ND,12,4,3,8388608,237292012,9,7,97,4,14,133,0
8aafdeaf-363a-49a9-be9e-138c81499e0,j-1BYBMARV0B1ND,12,4,4,8388608,364935418,13,10,110,7,27,169,0
8aafdeaf-363a-49a9-be9e-138c81499e0,j-1BYBMARV0B1ND,12,4,5,8388608,797857853,30,24,123,16,41,237,0
8aafdeaf-363a-49a9-be9e-138c81499e0,j-1BYBMARV0B1ND,12,4,6,16777216,1540035256,60,37,126,13,37,274,0
8aafdeaf-363a-49a9-be9e-138c81499e0,j-1BYBMARV0B1ND,12,4,7,16777216,6321118503,232,171,423,68,60,958,0
8aafdeaf-363a-49a9-be9e-138c81499e0,j-1BYBMARV0B1ND,12,4,8,25165824,10514761914,397,253,1355,241,228,2476,0
a6015dfb-47f9-4702-b957-25eaeeb3963,j-1BYBMARV0B1ND,15,4,0,-1,-1,0,0,0,0,0,0,0
a6015dfb-47f9-4702-b957-25eaeeb3963,j-1BYBMARV0B1ND,15,4,1,4194304,4640417,1,0,51,0,2,57,0
a6015dfb-47f9-4702-b957-25eaeeb3963,j-1BYBMARV0B1ND,15,4,2,8388608,183374462,9,6,70,3,11,100,0
a6015dfb-47f9-4702-b957-25eaeeb3963,j-1BYBMARV0B1ND,15,4,3,8388608,237292012,9,7,95,4,16,133,0
a6015dfb-47f9-4702-b957-25eaeeb3963,j-1BYBMARV0B1ND,15,4,4,8388608,364935418,14,10,101,7,27,161,0
a6015dfb-47f9-4702-b957-25eaeeb3963,j-1BYBMARV0B1ND,15,4,5,8388608,797857853,28,23,116,17,44,231,0
a6015dfb-47f9-4702-b957-25eaeeb3963,j-1BYBMARV0B1ND,15,4,6,16777216,1540035256,62,36,133,14,42,288,0
a6015dfb-47f9-4702-b957-25eaeeb3963,j-1BYBMARV0B1ND,15,4,7,16777216,6321118503,253,153,391,72,56,929,0
a6015dfb-47f9-4702-b957-25eaeeb3963,j-1BYBMARV0B1ND,15,4,8,25165824,10514761914,400,250,1202,245,212,2312,0
abc4bc3c-cdaa-4814-ae25-e2ddf8a35ef,j-1BYBMARV0B1ND,17,4,0,-1,-1,0,0,0,0,0,0,0
abc4bc3c-cdaa-4814-ae25-e2ddf8a35ef,j-1BYBMARV0B1ND,17,4,1,4194304,4640417,0,0,49,0,2,54,0
abc4bc3c-cdaa-4814-ae25-e2ddf8a35ef,j-1BYBMARV0B1ND,17,4,2,8388608,183374462,6,6,71,3,10,97,0
abc4bc3c-cdaa-4814-ae25-e2ddf8a35ef,j-1BYBMARV0B1ND,17,4,3,8388608,237292012,9,7,94,4,16,132,0
abc4bc3c-cdaa-4814-ae25-e2ddf8a35ef,j-1BYBMARV0B1ND,17,4,4,8388608,364935418,13,9,94,7,27,154,0
abc4bc3c-cdaa-4814-ae25-e2ddf8a35ef,j-1BYBMARV0B1ND,17,4,5,8388608,797857853,30,23,115,16,42,229,0
abc4bc3c-cdaa-4814-ae25-e2ddf8a35ef,j-1BYBMARV0B1ND,17,4,6,16777216,1540035256,60,36,125,14,38,276,0
abc4bc3c-cdaa-4814-ae25-e2ddf8a35ef,j-1BYBMARV0B1ND,17,4,7,16777216,6321118503,240,149,348,71,57,868,0
abc4bc3c-cdaa-4814-ae25-e2ddf8a35ef,j-1BYBMARV0B1ND,17,4,8,25165824,10514761914,403,231,1049,242,218,2147,0
199a9372-fc11-4060-a95b-2fcffade04e,j-1BYBMARV0B1ND,19,4,0,-1,-1,0,0,0,0,0,0,0
199a9372-fc11-4060-a95b-2fcffade04e,j-1BYBMARV0B1ND,19,4,1,4194304,4640417,0,0,52,0,2,57,0
199a9372-fc11-4060-a95b-2fcffade04e,j-1BYBMARV0B1ND,19,4,2,8388608,183374462,7,6,77,3,11,106,0
199a9372-fc11-4060-a95b-2fcffade04e,j-1BYBMARV0B1ND,19,4,3,8388608,237292012,11,7,97,4,18,139,0
199a9372-fc11-4060-a95b-2fcffade04e,j-1BYBMARV0B1ND,19,4,4,8388608,364935418,13,10,99,7,25,156,0
199a9372-fc11-4060-a95b-2fcffade04e,j-1BYBMARV0B1ND,19,4,5,8388608,797857853,29,23,118,17,44,234,0
199a9372-fc11-4060-a95b-2fcffade04e,j-1BYBMARV0B1ND,19,4,6,16777216,1540035256,58,37,269,15,39,420,0
199a9372-fc11-4060-a95b-2fcffade04e,j-1BYBMARV0B1ND,19,4,7,16777216,6321118503,236,154,316,72,58,839,0
199a9372-fc11-4060-a95b-2fcffade04e,j-1BYBMARV0B1ND,19,4,8,25165824,10514761914,438,249,941,249,215,2095,0
